fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,16,KERALA,1601,KASARGOD,173556,0,0,0,0,100,28,12368,0,0,9532,0,23707,0,10.18202,0,0,99299,153529,0,172510,248638,12468,10.18202,0,51,0,0,0,NA
2025-2026,April,16,KERALA,1609,IDUKKI,208087,0,0,0,0,271,31,11699,0,0,27147,0,24225,5.00349,94.9455993,0,0,124096,226987,0,213909,366736,11970,89.9421093,0,34,79.09,1.53,0,NA
2025-2026,April,16,KERALA,1611,ALAPPUZHA,411281,9220077.68,2,0,0,156,39,21137,2,0,43140,0,1125,3.10636,187.5079136,1,1,171299,272541,0,266193,397422,21293,184.4015536,2,31,18.72,0.74,100,NA
2025-2026,April,16,KERALA,1613,KOLLAM,380541,150216.195652174,1,0,0,84,38,19329,46,3,58356,0,2406,4.32625,73.4257,46,46,188771,300600,0,405922,591876,19413,69.09945,34,41,2.01,31.93,100,NA
2025-2026,April,16,KERALA,1603,WAYANAD,163214,4897.58987635534,5,1,3.7985,306,0,8051,5257,384,6439,2710,47033,4.05543,265.3202298,1028,1144,80746,139644,0,158213,260560,8357,257.4662998,4407,42,36.5,16.51,100,NA
2025-2026,April,16,KERALA,1606,PALAKKAD,295847,4522.77748526336,4,6,0,357,20,32787,10518,5170,81268,154,20679,2.36703,478.0727659,2461,2593,200385,288790,0,413120,560056,33144,475.7057359,9399,59,50.02,21.3,100,NA
2025-2026,April,16,KERALA,1607,THRISSUR,182903,111.336645053336,4,16,0,372,46,13589,28686,9952,46525,353,2428,8.3568,40.29483,6712,6899,142416,188077,0,353683,433285,13961,31.93803,25415,49,51.73,2.85,100,NA
2025-2026,April,16,KERALA,1613,KOLLAM,380541,312.845494556405,4,35,0,304,16,19552,86340,16538,58383,871,2407,4.32625,274.43705,19107,19894,188807,300725,0,406063,592156,19856,270.1108,75163,40,67.19,22.89,100,NA
2025-2026,April,16,KERALA,1601,KASARGOD,173556,864.672188151235,5,5,1.528,243,1,12474,16795,1276,9537,2331,23723,4.5322,151.281894,2847,3203,99376,153690,0,172641,248889,12717,145.221694,14024,52,46.02,58.75,100,NA
2025-2026,April,16,KERALA,1602,KANNUR,220557,429.329344197764,5,16,0,352,1,14489,76212,4073,7983,3369,13423,3.60738,330.8078598,13167,13713,119377,176981,0,267675,369428,14841,327.2004798,70638,41,56.75,83.16,100,NA
